Census Tract Number, Total Population, Total Older Adults Age 65+, Percentage of Older Adults Age 65+, Total Older Adults Age 55+, Percentage of Older Adults Age 55+, Total Older Adults Age 65+ With Known Poverty Status, Older Adults Age 65+ Below Poverty Level, Percentage of Older Adults Age 65+ Below Poverty Level, Older Adults Age 65+ Living Alone, Percentage of Older Adults Age 65+ Living Alone, Total Population Age 5+, Residents Age 5+ with Limited English Proficiency, Percentage of Residents with Limited English Proficiency, Total Population with Known Poverty Status, Residents Below Poverty Level, Percentage of Residents Below Poverty Level, Total Population Age 25+, Residents Age 25+ without a High School Diploma or Equivalency, Percentage of Residents Age 25+ without a High School Diploma, Total Labor Force Age 16+, Unemployed Residents, Unemployment Rate
36081002500,7411,1101,14.9,2202,29.7,1101,553,50.2,476,43.2,6937,1623,23.4,7411,2857,38.6,4704,1422,30.2,5771,1061.9,18.4
36081025400,9722,1176,12.1,2352,24.2,1176,152,12.9,360,30.6,9223,1709,18.5,9722,1587,16.3,6103,1309,21.4,7735,1577.9,20.4
36081008700,5089,405,8.0,810,15.9,405,137,33.8,166,41.0,4450,862,19.4,5089,1838,36.1,2704,1004,37.1,3643,597.5,16.4
36081016300,3558,927,26.1,1854,52.1,927,285,30.7,289,31.2,3413,1187,34.8,3558,1090,30.6,2920,1121,38.4,3165,269.0,8.5
36081004700,4037,638,15.8,1276,31.6,638,137,21.5,269,42.2,3858,899,23.3,4037,750,18.6,2812,652,23.2,3151,318.3,10.1
36081097204,3741,726,19.4,1452,38.8,368,44,12.0,84,11.6,3484,598,17.2,3162,580,18.3,2774,894,32.2,2954,525.8,17.8
36081122702,8227,1069,13.0,2138,26.0,1069,234,21.9,360,33.7,7668,1880,24.5,8227,2902,35.3,5055,1134,22.4,6061,733.4,12.1
36081087100,2350,241,10.3,482,20.5,241,74,30.7,107,44.4,2170,1071,49.4,2344,637,27.2,1612,366,22.7,1911,78.4,4.1
36081094202,4617,341,7.4,682,14.8,341,70,20.5,76,22.3,4189,349,8.3,4614,996,21.6,2756,427,15.5,3269,294.2,9.0
36081025400,9722,1176,12.1,2352,24.2,1176,152,12.9,360,30.6,9223,1709,18.5,9722,1587,16.3,6103,1309,21.4,7735,1577.9,20.4
36081094202,4617,341,7.4,682,14.8,341,70,20.5,76,22.3,4189,349,8.3,4614,996,21.6,2756,427,15.5,3269,294.2,9.0
36081027800,2374,326,13.7,652,27.5,326,29,8.9,109,33.4,2187,125,5.7,2374,614,25.9,1514,265,17.5,1908,242.3,12.7
36081092500,3906,545,14.0,1090,27.9,545,123,22.6,94,17.2,3665,1805,49.2,3905,786,20.1,2731,698,25.6,3196,246.1,7.7
36081094202,4617,341,7.4,682,14.8,341,70,20.5,76,22.3,4189,349,8.3,4614,996,21.6,2756,427,15.5,3269,294.2,9.0
36081097203,7002,560,8.0,1120,16.0,560,105,18.8,231,41.2,6331,727,11.5,6872,2638,38.4,4003,1214,30.3,4886,806.2,16.5
36081088901,11133,1642,14.7,3284,29.5,1610,220,13.7,297,18.1,10482,5752,54.9,10999,2057,18.7,8309,1987,23.9,9262,231.6,2.5
36081088901,11133,1642,14.7,3284,29.5,1610,220,13.7,297,18.1,10482,5752,54.9,10999,2057,18.7,8309,1987,23.9,9262,231.6,2.5
36081044400,3308,427,12.9,854,25.8,427,138,32.3,206,48.2,3084,1149,37.3,3290,670,20.4,2267,795,35.1,2603,203.0,7.8
36081044601,3817,572,15.0,1144,30.0,572,164,28.7,267,46.7,3505,1673,47.7,3736,599,16.0,2573,621,24.1,2958,192.3,6.5
36081044400,3308,427,12.9,854,25.8,427,138,32.3,206,48.2,3084,1149,37.3,3290,670,20.4,2267,795,35.1,2603,203.0,7.8
36081002500,7411,1101,14.9,2202,29.7,1101,553,50.2,476,43.2,6937,1623,23.4,7411,2857,38.6,4704,1422,30.2,5771,1061.9,18.4
